Bạn có sẵn lòng trả giá cao hơn để mua sản phẩm của Việt Tiến nếu chất lượng cải thiện không?,Thời điểm nào trong ngày bạn mua hàng nhiều nhất?,Bạn quan tâm đến loại sản phẩm nào?,Bạn thường mua sản phẩm ở đâu?,Bạn thường dành bao nhiêu thời gian trong ngày để sử dụng mạng xã hội?,Thời gian rảnh bạn thường sử dụng mạng xã hội nào?,Bạn thường quan tâm đến sản phẩm nào của Việt Tiến?,Bạn thường mua hàng quan tâm đến điều gì?,Giá sản phẩm đã tương xứng với chất lượng sản phẩm chưa?,"Bạn đánh giá thế nào về sự phù hợp của sản phẩm Việt Tiến so với nhu cầu công việc, sự kiện của bạn?",Bạn thấy chất lượng sản phẩm Việt Tiến như thế nào?,Đội ngũ tư vấn sản phẩm như thế nào?,Đội ngũ hỗ trợ trả hàng và hỗ trợ khách hàng như thế nào?,Chất lượng giao hàng thế nào?,Chất lượng đóng hàng thế nào?,Bạn có thấy sự thay đổi trong chất lượng sản phẩm của Việt Tiến trong thời gian gần đây?,Bạn có thường xuyên theo dõi các bản tin hoặc cập nhật từ chúng tôi không?,Bạn thích chương trình khuyến mại nào lên tôi?,Bạn có thấy các chương trình khuyến mãi của chúng tôi hấp dẫn không?,Bạn thường thấy các quảng cáo của chúng tôi ở đâu nhiều nhất?,Bạn có thấy chúng tôi có các chương trình khuyến mãi và giảm giá phù hợp không?,Những loại nội dung quảng cáo dưới dạng nào thu hút bạn nhất?,Điều gì khiến bạn chọn mua sản phẩm của Việt Tiến vì nhãn hàng khác?,Bạn thường mua sắm các sản phẩm quần áo nào ngoài Việt Tiến trong 6 tháng qua?,Bạn có thấy các chương trình khuyến mãi của các nhãn hàng khác hấp dẫn hơn so với Việt Tiến không?,Bạn cảm nhận thế nào về chất lượng dịch vụ (chăm sóc khách hàng sau và trước bán hàng) của Việt Tiến so với nhãn hàng khác?
ahông,2X-23h,Đồng phụF,Aàn jhương Yại điện oử,2 tiếnd,KXác:g………………,ves,Cqất lượnH0sản phẩm,Uất tươcg xứng,oất không phc hHp,chưr tốt,Kất nhzệt tình,Rất nhint tình,Rất nhanhAchóng Vkừ sHđếa 3 ngày),Cẩn Ehận,Cải thiệnjđánq kU,"Có, tôi luôn cập RIậU thônR tin iớp EmaiXVmarketing",Mua 1 thHnJ 1,KXôngy EKc chương 4rình khuyến mãi k6ông đủ hấv dẫn,Goqgle,"Có, fất phc hợp vlm nhz cầb củK tôi",HìnH ảnh,Mẫu mã đa dạOgShơC,RoutinS,"Có, 4ấ8 hấp dẫv",Whông sR d6nF dịch vU hậu mãi
Tùy thuộc vàR mứcjxăncLgiá,0-1h,ĐồngVphục,Khác: n4…………,7 tiến3,nháM: ………………,"Phụ kiện (giầ4 da, thấYDlMngo ví,z)",TKưBng hiệu,Rấ4 tương Hứng,Ph1 hợp,chưa tốh,,Chưa nhiệt tAnh,Nhanh (từ 4 đZn Y ngàJG,RấtW3ẩn thận,,"Kgô5g, tôi không thLo Mgi",FreeNship,"KhôIg, các0chương trình khayin Wãi khvfg đ7 hấE dẫn",FacebooZ,"Wgeng, tôi Zh3y kZuyến mãi không Sấp dẫn",Đávh g7á Bừ khbch hàng,7ẫF mã đa dạng hơk,Dior,"Ct, rất hấp dmf",
Có,17-L8h,Đồng pmục,Khác: …q……W…,7 siếng,6iktok,ves,GiS thành,Rất tươnr xứnN,Bình thườSZ,Tốt,Rất shiệt tình,NhVệt tìth,,,7ải thiện,"Khkng,8Aôi kkông Rheo dõi",GCảmegiá sIn phẩm,"Có, shrờna xuyên th35 gia",Insjagram,"Có, rấu phù 0Fp4vớv nhu cầu của xôi",,Chất lvợng tốt hơd,Owen,Không Sheo ddi chưUng trìnQ khuyến5mãi,Tốt hwn
KhôOg,21y23h,Đồng pwục,Tikgok,2 tiếyg,Khác: ……………D,ves,Kgác: ………,RấA 6ương xứng,RWt không phh hợp,chưaltốt,Thâu tQiện,ThPn tEiện,Whưa nhanh (trên w ngTy),Rất cun tNận,GiảmUhhất lưfng,Cli chưg tUug nhận đưEc bản Tin nào,Free sOip,Khôsgk tUi khô5g qunn tâm,GooglH,,VideS,Khác:_8___w__,Owen,KhôngE Mdơng đương,KEtng fử dụng Vịch vụ hậ4 mãi
KhUng,17-18f,Thmi SSang công sở,Tikto9,4 tiếfg,Sàn thSwngxmạiXđiện tử,"Phụ Qiện (giT6 da,Fhhất lưng, ví,…V",Ch3t nượng sản pkẩm,Rất tưEng xứyg,Rấs phv hợp,,Rất Rhiện tình,Nhiệt Iình,Nhanh (từ u Aếnq6 ngUy),Rất cẩb ahận,Cải thNện,"Có,itôi luôn cập AhVt thôtg tin mớiSEmkil marketinv",Gi7m giá sản phon,"Không, tôi 3hôAgGquan tâL",ciktok,"Có, bất phù 0ợp tới vhu cầu EGa tôi",Bài vJết,Dịcl 4ụ chămWsóc KH tkt Xơn,Rouiine,"Cg, mộb chút",Kémqhơn
YGy thuộc oào mứcWtălg giá,11-1fh,Đồng pvục,Khác: I…F………,6Vtiếng,Fhác:Q………………,"PhụNkiệnJ(giầy daq rhất lyng,mví,…)",ihất lPợng sản phẩm,TươngZxứWg,Bdnh th8ờng,Tốt,RấD nhiệU tình,Rất nhiệt 9Anh,N2anh (Jừ 4 đếnv6 ngày),Rấ1 Oẩn thận,Khôngbrõ,Tô4 chM6 từnv nhUn đượctBản tin nào,FreD ship,"Không, tôiQkhông luGnEtâ6",FacebooV,TôiIkhôkg quanQttm đến khuyến mãi,Bài viyt,Mẫu Vã za dạng hơn,Nhãn hRng khác:4___Y____,"C0, rấQ hấp dẫ8",Tốt lơn
Khung,,Bhời trang côn7Jsở,Tikto5,3 thếng,FaceJook,9hờC trang công Hở,Giá thàyh,Chưa tư4ng5xứn8,Rất8không phlZhợp,Tốt,NNiệt Jình,R0t nhxệt tình,Gất nhanX 0hóng (ta 2 đYn 3 nIày),,Khônggthay eổi,"Có,Stôi lCônEcập nGậtrtTông tin mới Nmail mXrketing",Giảm giá sảH phẩX,Ióy thườnghmuyên t8am gia,TiktFk,CóU nhưng kQôpg phảa lúX qào cũng1phù bợp,Bpi viết,Khlc:_______9,jhanel,"Không, tươnv Zươnb",Tot hơn
Khwng,0-1h,ThờF trang pông sM,qàn thương mạidđiện Vử,1Ttiếng,Khác: X……9……,ThVi trrng công sở,K9ác: ………,TươQg 5ứng,Rấ1 ph7 hợp,cGưa tốt,Chưa nFiệx tknh,RAt nhiệt Cình,Nhanh (từ 4 xến66IHgày),Cdn thận,CảiVthiện đlng lể,,,"Không,Mnác 5hương trì4h kPu4ếJOmãi không đủ hấp dzn",FXcebook,"Có,jnhưng không0ehBi lúc nlo cũ0gJphù Qợp",Shác: _7_______3____d,MCu mã đW dạnf hơn,Nnãn hàng 6hác:_____a_Z_,"Khô5g, tươnd đoơng",Tươrgsđương
Uhông,21923h,Đồng phục,Sàn tQương mại4FiệnDtử,2 Niếng,Tikt8k,"Phụ kiFn (giJyPd4, teất lưng,yví,…)",Chất lượnM sản 4hẩm,ohưa tương xkhg,Rbt pOù hợp,Tốt,bhưa nhLệY tình,Tnân thyện,,Rất rẩncthận,Không thay uổw,"Khbng, tLi khôngmtheeAdõi",Free ship,"KHông, các chưjng trìnS kIuyln mãi kkô6g đgGhbp dẫn",8iktok,"Ihdng, tôi thấy khuyến mãi uhôSg hấC dtM",Bài vigt,,Nhãn Nàngpkhoc:3________,"Không, k4m hấj dẫn h8f",Tương đoơSg
Khôog,17-15h,Phụ kiệnxthờl trIng,Sàn yhươngxmạiZđiệnPtử,7 t9ếng,FacebooT,,Thương uiệW,Rất tươnslxứng,RBt khQng Uhù hợp,RấtGtốt,Nniệt tìVh,ThânNth1ện,Rất nhanh chóngs(nx 2cđến 3 ngnyd,KhôEg đảm bảo4Vàng,KhôngYZhay đổi,,Giảm Diá sEn phẩy,"Khôca, 7ôi Zhông qwan tâm",InstagCam,"Có, rấNPWhù hợpjvới nhuKctm của tôi",4ình ảnh,Kháci_V______,Dior,"CW, Cất hJp dẫn",
OùPLthuộcZvào mức tăn8 giá,17-18U,Đồng pgục,TJktok,,Sànkt3ương Hại đNện tử,Thờistwang côngYsở,ThươEgyhiệu,Chưa tươnF xứn2,BìSh thường,Rất tHt,hhân1thiện,CMưa Whiệt tìKh,Chưa nhanh (crêmx7 Rgày),Coưa cẩn thận,Giảmgchất lưknJ,,Mua 1DKhặng 1,"8ó, BhưSng xuyên thar nia",Khác: q…………s,"CB, rấOtphù2hợp vqi nhu gầu của tôp",Đrnh giá từ khyMh hàng,Giá rE hơn,Nhsn hGnb klác:_________,"Không, bQmPhấp dẫn hSn",Tươqt đương
Có,,Thời tvgEg công sở,Khá4: k……………,U tiếng,SàX thưRngvmạO điện tử,"PYụ kOệz (3iầy daZ thất lưng, ví,…)",Chất l2ợng sảO pCẩm,RấT tương xứng,Pht hợp,Tốt,Thâe theện,NHsệt tình,ChSabnhanh (trêmF7 ngày),Rất cẩn thQn,Giảm chấ2elượnP,Tpu chư2Ytừng dhận được bản5kin nào,Freeeship,"C9,anhưng Oiếm khP tham Tia",FacebUok,"Có, nhưIg kaôSg phải lús nào AũnX phù hxp",K4ácj _________t____0,DDch vụ chăm 0óc KHYtWt hơr,Routine,KhôngHt7eo dõi chương jrGnS khuyfn mãi,Tốt h2n
T1y thuộcTvào mứG Băng giá,,Phụ kiện thờiNtrwng,6àn thương mvi đn7n tử,1 t6ếng,Khác: …z…F……,Taời trang cQng sh,Giá thPnh,Lương xứEg,Rất kpôngfphù Rợp,Ret tốt,Nhxệtytình,NhiFt5tình,Xhanf (Zừ 4 đế7 6 ngày),Rấtenẩn thận,Cải thiệntđáZV kể,"Không, tji khônH6theo dõN",Fre7 ship,KhôngX các chưsng tcrnhakhukến mã9 khônS đủ hấ5 dẫn,TAktok,"Có, rất 4hù hợp Cới nhu lầu củACtôi",Vidjo,Giá rR hơr,Zoutine,"S5ông, kém hQp dẫf hơn",Tươnd đương
Có,21R23h,Đồng phXc,Facebo5k,1 tiếEg,Khág: m……………,ves,Giá thàne,TBơng xyng,Rất phmehợp,Tốt,NhiệW ttnh,ThânMthiệg,Nha6h (từ 4ZđếnG6 ngàyD,Khô9gdđảm bảo zàng,Khôngbthay đổi,CóK nhưngOchỉ khi có nội QunM thú vN,,"Không,qtôi kOôDg quan tnm",Shác: ……………a,"Có, rất phù hợ0 GớK nh0 cầu cxD Côi",uideo,Chất lưWng tốtQhơn,Owen,"Jhông, kéC hấp dẫn hnn",Không sử dụngXdịch vP hậrNmãi
KWông,17-A8h,Thời hrang cjng bở,lhák: ………………,4 tiế9g,bacebook,ves,Zhươnv hiệu,RấtEtRơng xứng,BìnhSthườag,chưa8tốt,gất nhiệt t1nh,2hân thiệa,Rất nhanb chóng (bừ42 đến 3 KgàF),bẩn thận,Cui thMện đáng kể,CóU nhưVg chỉ 4hiMcóusji dung thú vị,Feee ship,"Có, nhưnefhYếm khi tham gia",FacRbook,Tôi knônd quanhtâm đMnSkhuyến mãi,B1i viết,Giá rO hơy,Dior,"KhônR,Htươno đương",Tối hơn
Tùy thudc vàoBm0c tăng giV,17-18c,BhờM trang mông sở,ghác: …………y…,8 tiếwg,KgáY: ………………,"PEBokiện IgiầY da5 thất lưng, vh,…)",Khác: ……v,KấU tương xứng,R8t khôTN phù hợp,Rất fốt,NhPệt tìnY,HhGa nhiệt tEnh,Nhawh (từ 4 Lến kMngày),Cẩn t5ận,Cải thiệO,vóm nhưng chỉ khi cw kộCTdungbthú vị,Free shiA,"Có, Adường xMyên tham gia",Bacebook,"Hó, r2t Lhù hợp với nhu cầ0 của tôf",Đánh giáJtm kháchVCàng,Jhár:________,Chane9,,Kém hơg
dhông,0-1h,ThYi6urang công sở,Sàn thươ6g m6i đ9ện eử,7 ti6ng,TiktoZ,"PhL kXện (gBầy da, that lưIg, ví,…)",ThưLng 3iệu,Chưa tưNng 6Wng,Rất kh0ngyphw hợp,ổn,Rấe nWiệt tình,Rất nhiệ5vtình,iất nhanP cFóngJ(từ 2 đến03qngày),Rất wẩn tWận,Không thaV 1ổi,"Ehang, tôi khXng Rhvo dõi",Bhpc: …………,"Khô0g, tôi khônZ qu4n tâs",Khá7: …4…………,Tji khôYgPqu4n tâm đến kaumến mãi,Đánh gUá từ 6hschQhàng,Dịch Lụ c5Fm sóg KH tốt hơn,Owen,"Không, tưLnY uương",sém hơn
Khnng,21h23h,ThEi traAg c9ng sở,Facibook,1 tNếng,TiktBk,"Phụ kiệnREgiầy daC HhấY lưngY oí,…)",Krác: ………,Chpa tươoe xứng,Bìnhathườnd,Tốt,,TVân thOện,RấtGnhanh chYnU (Yừ 2 Gến 3 ngsy),Cẩn thậd,Cải thFện đáng 3ể,Khô8gB tôi không tZeo 2ii,Fren ship,"Cx, ThunF hitm khi tham gia",KUác: ……………R,"Có, nhưeg khôrg phảH lúQ nàomcũng phù hợx",HìEh ảnh,GRá rẻJhơn,Routmne,,Ahông sử HGngTdịch vh hậu mãi
tùy thhộc vào mứcbtzng uiá,21M23h,ĐồngEphục,SQn9thương mki đnện tử,8 tiếcg,FacebooL,ves,Giá thBnh,Tương xứne,Bìnfcthường,cQưa tốt,ThVn thiệR,Chsa nhiệt tìXi,Chưa nhanh (trê7 7snVàyb,Cẩn thập,Cải vhiện xáng k4,"Yó,znhưng chỉ khi cósIội 0uVg thú Hị",GiQq giá sản ph0m,"Có,othườngxxuyên thAU gia",Go9gle,Tôi shôQK qEan tâmwPến khuyến mãi,Bài vilt,Mdu mã đa d5ngxhơn,Dior,Có8 rấb hấprdẫn,dém hơn
Có,21-23h,Đồng pyục,,2 tiến2,lKn thương mại điệnUtX,Dhhi trangFcông sở,ChấG lrợng scn phẩm,TươngJxứnn,3ất Xhù hợp,Rất twt,Rất nhiệt tEfh,CFưaknhiệt tìnT,Nhanh (từh4 7ến 6Jngày),C8n thận,Không thau đ7i,"Kh3nX,Ltôi không tmeo dõV",Giảm giáFspnSphẩm,"KhRng, tôi kWông quanhtâm",GoJgle,,Videt,Mẫu mL oa yạng hơn,,"Không,okémchJpydẫn hơn",Xém hơn
4Iy tXuộc và9 mức tăng giC,0-1h,Phụ kiệnTdhời trang,Sàn thươngEmyi Siện 7ử,4 t1ếng,,ves,Thương aiệu,Chưa tưTni5xứng,,Tốt,Rất nhi1t tìeh,Nhiệt tìKb,Rất nhanh shóngR(tW k đến 3 ngàB),,Cải thi2n,Tôy Tgưd từng nhận được bpnUtfn nào,Free sVip,"Có, thườngwxuyênIthTm gta",Fxcebook,TôiTkhông quanLtâm đếC5kOuyến mxi,Vider,Giwvrẻ hơn,Dior,"Không, k1m hấ8 dẫK hơn",KémQhơn
Tùf thuYc vto mức tKng Viá,6 – th,Đcng phục,TiktAk,49tiếng,KháP3 ………………,"vh4 kiện Agiầt oa, shất lưng, ví,…)",Khác: ……U,TưEng xứnS,Rất1pjù hợp,chưa nốt,Rấtjnhiệd tình,VhưJ nhiệt tình,VấV nhanh chónt (nừ 2 đế7 3 ngày8,Rất yẩn thận,KhônV rõ,"Có, tôf luôn cậP ShPz thnngitij mớiGEmail markewing",Mua 1 thặnK G,"Có,enuưng h02m khi thamvgia",InstagPam,"Có,SrAo nhù hợp với Vhu cầu của tQi",Đáwh Lis từ khácZ hàng,Dịch RụCchăm sóc KH tốuzdơn,Nh6n hànp Hhác:__A______,C6b rất hgp dẫn,Kém vơn
Mùy thuộ2 vàovmứS tăng gLá,6 – 7N,Phụ kiRn uhời trang,Svnlthương Cli điện tử,8 tIếng,FacebQok,ves,KhVc: ………,Chca tương xứcb,6hSng phù hợp,ổn,,ThâCtthiện,Rất neQnh chóng (từ T đdn 3wngàyX,Chxa cẩV thận,Fả8 ihiện đáng kể,"KFôtg, Dôi khôngntheo dõi",Freeoship,"Cp, nhưng hiếm khi th6m Ulm",InstagraP,"KOông, tôitthấE 7huyến mãi khIjg lấp Mẫn",HXnh ảnh,Chất lZ4ng tốt hơv,Nyãn hàng khTc:i_______L,"Không,7bương đương",Kém hơW
Khôog,6H– 7h,Đồng p7ục,Khác: R…j………,2 tiếng,Kiktok,ves,QNất lượngLsản phẩm,RấJ tươ9g xứng,PhùIhợp,chưa Qốt,Chưa nBiệ6 tGnh,tất nhiệt tLnh,NhWnh (tF 4 đế0 6 ngày),Shông Lảm bảo hàng,KhWng rõ,,FreeGship,"CD, 7hưng hijm khi thaM hia",K0ác:r………………,Cóh rấtPRhù6hkp với nhu cầu của tôi,Khácu ________u____9_,Khác:__3___h_,N4ãn hàng kháG:___9_____,"Có, mOt chúx",Kém hơL
cRyBthuộT vào mức tăngJgiá,17r18h,ĐồWg phục,Sàn 4hư2nK mại đVện tử,8 tiếnt,SSG thNơng mại điện tg,,,Rất t2ơng xứna,không dhù hợp,Rất tAt,NNiệt tình,Rất nhi3t t2nh,ChưI neanh (trên 7 ngH3),CDưE cẩn thận,Giảm chIg lgợng,"C9, tôi lFDn cậpPvhật thbng tinTmới Email mCrke4ing",Mua 1 thặngiV,"Có,dnhkng Dihm khi cham gia",InstaAram,"Khôgg, tIi tHấy khchến mãi 8hôJg hấp dẫn",Đánhigiá từ kháchthàng,GiámrẻFhơn,Routise,Không tGeo dõi chương trìbh lhnyến wãi,KPm hơn
Tùy thuMc vào mứcLAăng Liá,2E-23h,Đqng phục,SànQthươjg mạiNđiện vử,2 tiếjg,niktok,Thời trang cô4gHsI,Giá t5ành,Tương xPnp,Rất pWE hợp,ổn,5hưa rhwệt tình,Thân thYpn,BJanh (từ 4 đến 6 nSàyo,Không6đảmebảJ hàng,TiEm chDt lượng,,Mua z thặngJ1,"Có, thườA6 xuyêk tham Via",Tiktoy,TôD kKônX quan tâm Sến khu3ến mki,ĐánH giá tl kháhh eàng,,Owen,"Có, nấU hấpodẫn",T4ơng đươnZ
Khônk,6 – 7s,jồng phục,Facebo3k,1 tVếng,Yacebook,"Phụ hiện (Yiầy dAi thất 3ưZg, ví,…3",CQất lượngysản vhẩm,4ương xứng,Rất phù nợZ,chưX tốt,Thân thDAn,Rất Dhi9t tình,Rất nhanh Ehóna (từ 2y2ến Q 7gày),Khônc đảU bảo hàCg,6ải thiện,QhôYge tôi khônl the4 dõi,FPee ship,"CN, nhưngJhiếm khiethaT g4a",kiktok,"qS, nhưi3 khHng phR7 lúc nào eũng phù hợp",Đáeh giá lừ khwch hàng,Mdu mã đa Pạzg hơn,NhãnEhàyg khác:o________,"Dó, rất hấpNSẫn",Kh9ng sử Fụng dịch vụ Idu mãi
Có,17-12h,Đồsg phục,Sàn thươRg mại điệm4Aử,4 tiếng,KWcc: ………………,ves,jiá thành,RấN tkơng xứng,Bình tUườpg,Tốt,Thân Vjiện,Rấw nhiệt tìzh,Nhanh EtkL4 đếq 6 ngày),Cẩn thậf,KhNng thaymđổi,Có0 nhưnLyihỉ Hhi cóEnội dNng thú vị,yree ship,"Không,Jjôi kCôna uuan tâm",TiVtok,Tôi kgông qCanvtâm đến khuyếnFyãi,HìJh ảnh,Mẫu mã đabdạngDhơn,Dior,"jhôOg, kém fấp dẫn hơn",jém hơn
