Bạn có sẵn lòng trả giá cao hơn để mua sản phẩm của Việt Tiến nếu chất lượng cải thiện không?,Thời điểm nào trong ngày bạn mua hàng nhiều nhất?,Bạn quan tâm đến loại sản phẩm nào?,Bạn thường mua sản phẩm ở đâu?,Bạn thường dành bao nhiêu thời gian trong ngày để sử dụng mạng xã hội?,Thời gian rảnh bạn thường sử dụng mạng xã hội nào?,Bạn thường quan tâm đến sản phẩm nào của Việt Tiến?,Bạn thường mua hàng quan tâm đến điều gì?,Giá sản phẩm đã tương xứng với chất lượng sản phẩm chưa?,"Bạn đánh giá thế nào về sự phù hợp của sản phẩm Việt Tiến so với nhu cầu công việc, sự kiện của bạn?",Bạn thấy chất lượng sản phẩm Việt Tiến như thế nào?,Đội ngũ tư vấn sản phẩm như thế nào?,Đội ngũ hỗ trợ trả hàng và hỗ trợ khách hàng như thế nào?,Chất lượng giao hàng thế nào?,Chất lượng đóng hàng thế nào?,Bạn có thấy sự thay đổi trong chất lượng sản phẩm của Việt Tiến trong thời gian gần đây?,Bạn có thường xuyên theo dõi các bản tin hoặc cập nhật từ chúng tôi không?,Bạn thích chương trình khuyến mại nào lên tôi?,Bạn có thấy các chương trình khuyến mãi của chúng tôi hấp dẫn không?,Bạn thường thấy các quảng cáo của chúng tôi ở đâu nhiều nhất?,Bạn có thấy chúng tôi có các chương trình khuyến mãi và giảm giá phù hợp không?,Những loại nội dung quảng cáo dưới dạng nào thu hút bạn nhất?,Điều gì khiến bạn chọn mua sản phẩm của Việt Tiến vì nhãn hàng khác?,Bạn thường mua sắm các sản phẩm quần áo nào ngoài Việt Tiến trong 6 tháng qua?,Bạn có thấy các chương trình khuyến mãi của các nhãn hàng khác hấp dẫn hơn so với Việt Tiến không?,Bạn cảm nhận thế nào về chất lượng dịch vụ (chăm sóc khách hàng sau và trước bán hàng) của Việt Tiến so với nhãn hàng khác?
Tùy thuộcTvào IứO tj1g giá,13-12h,Thờs trang TôngLsở,Shf Shương mại đimn tử,3 diếng,Sàn tHươn0 mạIKđiện tử,,Chấv lượnG sảnpphẩm,6ươngWxứng,Rg9 phù hợp,RCt tốt,Chưa nhgệtqtìn6,Rất naiệt tEnh,Uhanh Ptừ H đến 6 ngàM),Crưazcẩn thận,KhôngLthay1đổi,"Có, zhưng chỉ khi cócnộz dfngPthú 0ị",Freeoship,"Có, thườ4gNxuyên tham gLg",Tiktot,"Không, tôiythấy0khwyến Bãiqkhông hấp dẫn",VidIo,aiá rẻ xơn,Nhãn hàng khácD4__4___i_,,Tốt Hơn
Tùy yhuộc vào cức UăTg gFá,21s23h,Đồng phtc,Khá7: …………P…,m tiếng,Kmác5 ………………,ves,Gi1 thành,Tưpng Wứng,,Tốt,NhiệtGt8nh,Ntfệt tình,zất nhanh chUns (từ 2 đết 38ngày),Rấtacẩn 1hận,KhôDg rõ,"Có, tôi lOôn cep nhNt ttôngYtin mới EmGiczmMrketing",Khár:N…………,,Khá1: …W…………,T8i không 7uan tâm đaRXkhuyến mXi,,MIu mã đa dbng Fơn,Nhã6 hàlg khácd_________,"HhônP, tương đcơng",Tốt hYn
Khôn5,21-D3h,PQụ kiện thời sraeg,KhácB …………K…,Kxác: …………k…,Svn t2ương mại đi7n tử,TWời tranV công sa,Chất lượxg sản phKm,Tươnggaứng,Rất khônnBphù hợp,ổn,Thân tmiện,Rất nh5ệt tìvh,Chưa nhanj (tHên 7 nLày),Chưg cẩn th6n,Không rz,"Không, txi không tK9o OõQ",,"Không, các jqưvng crình GhuFến mãi không đh Zấp dẫn",Kcácw ………………,"C3, nhưng khnng p3ải Cic nào cũQg phùRqợp",Vid2o,Giá rk Mơn,Owen,KyôEg5theo dõi chươnde6rwnh khuyến mãi,sốt hơn
Tùy thVT0 vào mức tăng giá,31-12h,Phụ kiệnEthời tranr,Khvn: ………………,37tiếng,TiktVk,,Thương miệu,Trơngoxứng,Bình tttờng,ổn,Nhiệt nì4h,Thân tHiệv,Rất nhQnFfchókg 1từ 2 đmn 3 ngày),Rất cẩn thlO,Không4thaM đổi,"hó,dnhưtm Hhỉikhi có nội dung thú v2",Khác: n……o,"CN,hthường xuyês thaf gia",Khá5: ………………,"Cm, nhưng khôZu phải lúc 3ào cũPg phù hLp",Vddeo,MẫuAmãUđaJdạng hơn,Routlne,"Có, mộZ lhút",6h6og 3ử dụng dịch vụ hậuomãi
Mqy ehuộc vào mức tăng diY,,ĐồLg phục,Sàn thương mJi đ5ệsItử,Q tiếng,Khác: …pS………,Thời tran8 côngmsở,TJương hiệI,RấtSt4ơng xứng,Phù hhp,chưaFtốt,Bhư1wnhiệt tình,,mhưa nhanh (trên 7 xgàp),Cẩn thZn,,"Olông, tôi khôngrtheoTdõd",Giảmqgiá sảl phRm,"Có, thường xuynn ThamYpia",Googly,"Không, eAi thấy khuqếnlmãi kNông jấpWdẫn",Đánh giBrtừ Vhách hing,Giá rẻQDơn,7hen hànk khác:______Q__,"1hpJg, tương đương",Kém Uơn
Có,,Phụ kiện thời wrZpg,Sàn thươn9 tạI điện tL,2 Qiếng,Niktok,Ghời traXg cônd sở,Giá thàn0,,Rất 4hôbg phù hợ0,chưa mốt,Thbn thi8n,Nhiht t8nh,Ratrnhanh Dhóng (từ 0uđến 3 nXày),Cẩn thậR,vhông rõ,Cóe zôi lubC cập n9ật thônS tinCmới Ekadl maaketing,Giảm girKsyn phẩm,"Không, rôi khôngeq4anTtâm",GCogle,"Có, rấtW1hù hợp vni nwu cầT của tô6",,GiY rẻ hơC,Nhãn hàoD1Thác:_________,"Ghông, VémdhấX dẫn hơn",TưKng đxơng
,11-1Lh,WhờiWtrang4công sở,Khác:s……………8,2 tiếTg,giktok,Thời tCang cônptsở,Khác: …5…,C1ưa tương xDFg,Không phX hợp,Tốt,Rất nhiBl tình,,Nhanh5(từ K 0ếnr6 ngày),Chưa c0n thậc,GzảL uhất lượng,"Có, Nhưng chỉ qhi zó nộiGdunn th0 vm",MuajJ thặng 1,,InstagTam,Tôi không1Guao tât đến khuKến6mãi,HìnhMảnh,Mẫu mã đawdạng Jơn,Whãn S0Rg khác:_________,"KVôNg, kéZzhấp dẫn hơn",K2ông sử dụng9Mịch Zụ hậD mãi
Có,6 – oh,Phụ Mitn tJời trang,TiktEk,1 ciếng,FaceAook,Thời Xrang 5ôngtsở,,Rất tương xứnt,KhQnC phù hợp,Tốt,WấtNnhiệt tình,Nhiệw tìnS,Nhaihb(từ 4 đếY 1 ngày),Yất cjn thận,KhônO rõ,TôR 8hưa từngznhq5 được 7ảnatin nào,,Cj5 nhưng hiYm khi7thamPgia,Khác:R…………7…,Tôi IYông IuanStâm đ1nmkhuyến mãi,Bài viếa,Dịch vụUctăm sóB KE tốt hơn,Rvutine,Không tceo dõi c1ươngftrình5Jruyến kãi,KhUng sửHdụng Kịch vụthậummãi
KhJng,0-1h,Đồng phzc,Tcktok,3 tiếnP,Khxc: ……………g,"Phụ Tiện (eiầy dR, thất lưPg,Jvík…e",giá thành,CWưa tDơng xứng,BDnh taường,Tốt,Thânathzện,ThânNthiệ2,RấtpWhsnh xhóng (từ 2 Gến 3 ngLy),Chưx cẩn thậm,6hôn9 thay đổi,"Không, uôJ nhôhg theo aõi",Khnc: V………,CóOZthườ5g xoyên Iham gia,FJcebook,"Không, tôi 1hSyMkhuyếS mO9 không hấp dPn",Eài viết,,ChaneN,Không theo dõ8 chưang tsìnhnkhuyNP mãi,Tốt hơY
KhôGg,21-03h,ĐồnA phục,Facybook,1 tisng,Khác: s……3……,,,Rrt tưyng xứng,,nất tốt,Thân t9iệc,Tlân thiJn,eấW nhanh chóngA(từ 2 đến 3 egàyO,Cẩb thận,Cải thign,"Có, nh4ngnchỉ khn7có nội ounK thú vị",Free Ihip,"Có, ahườLgKxuynn thamkgia",Khác:I………………,Tôi khInm qua9 FâmAđếnOkhuyến mãi,2Dác: Q__L___________,MTu mm đa ding hơn,Routine,"CD,umột chút",Không sử dụngJd6ch vụihEb mãi
Có,11712h,PhụLkRện tUời trang,Facebsok,2 tiIng,,,Thương4hNệu,Rất tfơng xứnZ,RấR Ehù hợp,chưa Fốt,ChưacnhHệtFtình,Rất nhiệ0xtình,whga nYanh (trênR7 ngày),Qhông đảo bảT hàng,Gihm ceấtolượng,Tôi chưarsRng nhxn được bảfKtin Dào,Giảm giá sản0p3ẩk,"Không, các BhjKng trgnhmThuyếninãiAkhông đủ hấQ dẫn",IJstagram,"KhôNg,jtôn thấy khuyến mãi khnngbhấ6 dẫn",KBác: _______p_____a_,Mpu mNiđa dạng hơn,Owen,"Có, một chúX",Kém hơw
Uhông,17-1uh,ĐồngQphục,Tiktmk,3 riếng,Khácl …y…………,ves,Thươog hSệu,Rất tkơng xứJg,Bình tQường,chưa tNt,CEưa Ehiệtbtình,,Csưa nhanh (trên 7mnvày),C3n thận,,"Có, nhưng yhỉLxh0 có nộr du8g thD vị",Giảm giá spn phẩm,,,,Videe,Giá rẻ5Dơn,C1anel,"Có, rất pgp dẫr",Tươn1 đEơng
Khônj,21-2eh,,0hic: ………………,Nh4c: ………………,Sàn thTơnV mại điện tm,ves,Giá thXnh,wươMg xứng,Khônm phù tợp,Rất Wốt,Rất vhiệt tìnY,Chưa nhirt uìnl,Rất nhanhachónV (Từ C đWn 3 ngày),Cẩncthận,Không rr,Tôi chưa từng nhậB đượO bảl tinSnào,Khác:zo………,"Có, thường xvyên DhaqKgis",Khác: ………D……,"KhôHg, tôi thấf khuyến mgi k3ông hấMxdon",,Mẫu Jã đa dạngLhơn,RoutinW,"Có, mộtwcjút",Khsng sử dụng d7Ch vụ hậr mBi
Có,6 I 7h,Phụ kiện thời trAn1,Zhác: ……Z………,KháRy ………………,Sàn thương2wại đ7ện t6,ves,ChấtDlTợng sản ohẩm,Rất UươUg xứng,KiôPg phù hợp,chưa Lốt,Tkân mhiện,CZ6a nhiệt gình,Nhan5 (từ 4 abJ 6 ngày),RWt cẩO thận,Khôcgqthay đổi,sôi chưaa5fng 9hận được bản yin nào,Mnq 1 thặng 1,"Klông,4các chương trìhh kkuyến mKi không đ4Bhấp dẫn",G0ogle,"Có,qn0ưng k9dnS ph8i lúc nào cũng PGù hợp",Vi7eo,,Routiwe,Không theosd3i Bhương trì0hhkhGaến mãi,Ks2ng nử dụng dịch vụ qậv mãi
Tùy thuộc vàR mứcftyng tiá,11-12z,Ph0 kiệnvthời wrang,Faceb8ok,1 Diếng,FacWbook,"Ph9 ki2n (giầy da,WthấS9lưng, 7í,…)",Chất Yượng sảnRphXm,Rấtitương Gứng,Bình HhườJg,ổn,Thât thi5n,Ry2 nhiệt tình,NhapB (từ 4gđến p ngày),Cẩn thậE,Không thay Iổx,Tôipch4b tsng nhận được bảp tinTnOo,Khác:MJ………,KRôngQ ccc 5hương trình8khuyến m7i không Jj hấG dẫn,Goocle,KhBngxCtôi Khấy khuyếC mci kh6ng hấp dRn,iánh wiá từCkháih hàng,Dịfh vụ chăm s8c KH t2t htn,,"Khôn0, rươn0 đương",Kém hơM
Khôhg,21-238,Phụ kVện thờiTtJang,,2 t3ếng,Fasebook,Twời tcrng công sở,TLươn6 hiệu,Tương x8pg,Kfôzg phù hợp,Tốt,Chân thicn,RấtOnhiệt tynh,Rất nhanhEchónG Buừ 2 đếF 3 ngàQ),Khnng nảm bảo hDng,CảiMthiện,KhôEzX tôi khôJg theo dõi,Qiảm giá sảnRJhẩm,"KWôUg, các chương Trình khuyến mãixLhông đj obp dẫn",GooVle,"CZ, EấT phù hợp 6ới nhu cNu củs tôi",Đánh gOánRừ kháYh hàng,,ChaLel,,Kém hcn
Tùy Jguộc vào mức ttng gGá,1l-12h,,TiZtok,ihác: ……9………,biktok,"PBụ kiện sgiầy Da,rthất lưnL,qví,…7",Giá th0nh,TươOg xứn5,Phù hHp,chưaItốt,Pấk nhiệt tình,Chfa nPiệO tình,rhOa nhanh Ytrên 7 cgày),1hưa Mẩn thận,KJông rõ,"Có, jhưsg4chc khi có 5ội 3ung thú vị",Free ship,"khpXR, tôifkhông quan tâm",TiItok,Khôngy7tôi txấyfkhuyến5mãi khCnq hấp dSn,Kváh: ____J______v___,DịM99vụ chăm sóc KH 8ốO hơn,RUutine,KhôRgJtheo dõi chươcg trìTh kSuyếi mãi,TươnW đGơng
Có,11-16h,,Sàn 7h3Nng mại điệ1 tử,Khácq ………4……,macebook,,Chấtslượng sMn phẩZ,CLưa tương xứnk,Rất phùG1ợp,,ChưR nh5ệt tBnh,Rất nhiLt rình,Rgt nh0nh 2hóng (hB 2 đến 3 ngài),Rất cẩn 7lận,KSông rõ,,Giảm g9áqs9n phẩm,,Goxgle,"Không, tôi thấy kguyến xãi5k3ôngx7ấhvdẫn",ĐVnh giá jừ kvách hànR,Gic rẻ3hơn,Dior,"KhônE,3tương đương",TKơng đươns
TùyjDhuộc vAo mức tYng giá,21k23h,Phụ kdệnythời tjang,FBcebook,1Mtiếng,Taktok,ThờiQtra9g9công sở,,Twơnl xứng,Khzwg phù hợp,choa tốt,Nhiệt Rìnp,Rất nnjệt tình,Chưm5nhanhb(trên 7 nqày),xhPa cẩn thận,Uải thiện,"xhông, t2i yhôngztheoFdõi",Mua 1 thặng 1,"Không, iôi k4ôngaquhN tâm",qacebook,"Pó, noưnI không Doảiglúc nào c9wg phù hợp",Hình ảnt,Chấthlượng Uốt hơN,Owen,Cób rất hấx dẫn,Tốt Rơn
Có,i7-18h,Đồng peục,Sàn thươnO Gại 7iện tn,1 6iếng,Sàn 0hmơng mạM điện 9ử,Thời trDng uôn4 sở,ThPơng hiSu,Rất1tươngmxứng,Khôn6 p9ù hợp,chưa tốv,IhưZ nhiệt tìn8,NPiệtRtình,Rất 1hanh chónN (từ b đến1y ngày),Khônf đ5m bảo hàng,Cải thiện,"Không, tôf kCông tTeH dõi",,"Có, xhườngDxuyên tDam g7a",FacebooT,Cób oất phù hợp v3i nho RGuWcủa tôi,VideV,MẫuWmã đa dạnC hơI,Nhãn hàQg khácw_V____7__,,Kém hơB
TTt thuộg vào mức tăng gaá,1X-18h,Th2i trang công8sở,Sàn tgcơng mại đZệY tử,3 tiếnW,vAn thương mạiLđinn tử,"PhụrkOệv (Riầy da, thấtWlang, Pí,…)",Giá tEành,Rất tương xứnG,PhQ hợp,Tốt,TLNn thiện,RấtSnhiệl tình,Chưa nh1nh Etrên 7Angàyd,Rất cun tgận,Gpảm chấXzlượng,"Có,Rtai luôn 6ập nhậtQthôQw tin mới Emailcmarqeting",KhUcJ …………,"K3ông, tôi khônNiquPn tFm",Tikt3k,"Cb, rWt phù hợphvui nhu cvu của tXi",Vi7eo,Fiá rf hơn,,KhôngH tươnO đư3ng,gWơng đương
KAông,17-1Dh,Thời trang môn9wsở,F8cebook,Khác: …………2c,Sàn thươSg mOi đJệnbtử,ves,Khác: G……,Chư8 tương xQng,Rất phù2hợp,ổn,Qất Ehiệt tình,ThânMthibn,Nzano (từa4 đến 6 ngày),Rất cẩ3 thậQ,,,Free Lhip,,Goog2e,TôiEkhôngnquanKtâP đếe kauyến mãi,Đá7h giT từtkhách hàvg,Lhác:_____Z__,Dior,KhôIg nhwo dõi chươngYtrình thu3ến mãi,Tố9 hơn
T3D thuộc vNo mức tăng giR,21-2gh,Thờ0Ztrang công sở,,3 tiIng,Kháko ………………,"Phụ kiện zgiầy dag tpấW lưHgO vR,…)",mhác: ………,Rấk tương xứnx,Bình mhường,Tốt,RIp nhiệt tình,Chưa nhXệtUjình,ChVa nHanh (trên 7 nCàyO,,,"Ol, n6ưng cGỉ k9i có nội du7g thú vị",GiXmTgiá sả5 phẩm,"Không, zki kxông quyn tHm",,"Có, nh9ng khôWg p0ải lúc n8o cũ4g phe Fợp",Đáeh PRá từ khách hàng,hẫTWmã đa dạng hơn,rhanel,,KhDnt sử dụnQ Sịch vụ hậu mgi
KhôMg,6 –57h,Đồng phụM,Sàn thưNng mEi 2iện Xử,3 Oiếng,TBktok,ThờihtraSg Aông sở,Khác: ……i,Rất tươnglxSng,KhôngPphù hJp,Tốt,bhưa noiệt tình,ThâX tfiện,Chưa ChEni (trên 7 ngàyW,KhônV đảm bv2 hàng,Cải thiệK,"Có, nhưng chỉwkhN cóoWội2NunZ thú vị",Gigm gKá 6ản phẩm,"Khônv, cácTJhươLg trìnr khuyếH mãiYkIôzg đủ hấphdẫn",Khác:Do……………,,ĐánX Siá từ kdách hàn8,,Chanal,,KéT hơn
TùyTthjộc vào Hứcităngtgiá,A – 7h,Phụ kiện thời nr9ng,Khác:Y…K…………,1 ciếng,SànithưnngHmbi điện tử,"Phụ kbện (Riầy da, shất jưtg,36í,…)",Chấo lượn3Hsản phẩm,TươsgBxứng,Rất p2ù hợ6,Rit tốt,Nhjệt wình,ChưN Hyiệt tình,Nhanh (Fừ 4 đếnm6LnFày),Cẩc thận,Cải 2hiện,"Cv, tôi JuônYcập nhJCUthônc tiP mới Email marWgting",Mua J thặKg 1,"Kjôn2, các7coương trìnhvkhuyến mãY khbng đủ kấS vẫn",GooNle,"Có, nhing kXông phEi lZm nào cũSgwphù hợp",xideo,Dych3vụ chăm sdc Ku tốt hqn,RJutine,"Có, mộtvcVút",KéZ hơn
TùyRthuộ6Evào mức tăIg g6á,11-B2h,,Khác: ……R………,K3ác: ……W………,Faceb3ok,"Phụ kdệj (giầy DW, thttTlưng, zí,…)",Gi6 thành,ChưaXtương xxn1,Phù hup,Tốt,Rất nhiệt tUnD,NhiEt tì6h,NhPnh2(tb 4 đến 6 ngày),Chưa cẩn3ohận,GRảm chất lượnq,"Có, tei luôR cX8 nhật thôXg tin nới Emagl mKrkeCing",Gf2m giB sản phẩm,KNônge 4ág cjưMng trình khuyến mãiQkhông đủ hấO dẫn,FacUbook,Tôi khôUh quaN tâg đếs khuyến3mãi,Đánh giáZtừWDhácI hàng,GIáprẻ hơn,Chaned,"KWôSH, kém hấp dẫn hơn",Tốt eơn
ihông,R7-18h,Thời trang c4ng X5,,1Ttiếng,Tik8ok,qIời trang gông sở,Thương hiNu,ChGa tưxng xứng,Thôzg phù hợp,,Nsiệt Nình,hhânIthiện,RJt2nhanh chóng (từ e đếnG3Inzày),Rất cẩn whậ2,Cả5 thion aáng kể,"Không,Ktqi không Uheo dõw",FrJe ship,"Có, thường xuv8n ZhaA gYa",TiEtok,"CP, rất p8Q hợM với nhu cầu của iôi",1ình ảnh,DịyR vụ chămaslc KH tốt hFn,,KLôXg xheoPDõi chương trìmh khuyến mãi,XhJng sử dụng dịch v7 hậJUmãi
Khhng,o7-18h,,Sàn Qhfgng mạijđiện tử,c tiếng,Sànmthưong mại điệQ 6ử,TCời dranY công sở,Thlơng hWệu,gtơng xứng,Rất pxù hợp,ổn,Thâs thiệW,zhiệt tìnI,Chưa2nh0nV (t5ên 7 ngày),Không đJm sảP hàng,Cải thBện,"Không, HôJ Nhông theo32õi",Kháo: B………,"K3ông, hôiqkNông quan tâW",TiktUk,"Có, sất phù hợp 8bu nhuQcầuMcủa tmi",ĐánS giá từ 9hác6 hà6g,Kwác:O_______,Nhãn hàng AsbcY_________,"Không, tươnHcđươni",KhôEg sử dụng dịjh vụthRu mãk
KhXng,17-1Rh,ghời o9ang công sở,Sàn thưTngsmại 5uện tử,1 tiếeg,,"PhO kiệnSPgdầy da, thất lưwgl ví,…)",Chất iượni sản phẩi,RấtStươnC xứng,Không p5ù hợo,Tốt,Thân Whcện,Ghưa n9iệt tìsh,RấtonhanuTc2óng (Hừ 2 đến 3 ngàyp,Rnt cẩn Chận,,,Keác: r………,"Nó, nhưnZ hIếm kyO tham gia",Facwbook,"Không,pG6i zhấy khgyếw mãi không cKp dẫn",HCnh ảnh,GiW rẻ hơZ,Shanel,,TươnX đươn8
